72.00,151.00,67.00
70.22,142.56,67.89
68.44,134.11,68.78
66.67,125.67,69.67
64.89,117.22,70.56
63.11,108.78,71.44
61.33,100.33,72.33
59.56,91.89,73.22
57.78,83.44,74.11
56.00,75.00,75.00
56.00,119.00,48.00
56.00,114.11,51.00
56.00,109.22,54.00
56.00,104.33,57.00
56.00,99.44,60.00
56.00,94.56,63.00
56.00,89.67,66.00
56.00,84.78,69.00
56.00,79.89,72.00
56.00,75.00,75.00
70.00,40.00,76.00
68.44,43.89,75.89
66.89,47.78,75.78
65.33,51.67,75.67
63.78,55.56,75.56
62.22,59.44,75.44
60.67,63.33,75.33
59.11,67.22,75.22
57.56,71.11,75.11
56.00,75.00,75.00
